


As of:;Nov 07, 2024


Effective date ;S&P 500 (TR)
28/09/2017;4869.81
29/09/2017;4887.97
02/10/2017;4906.92
03/10/2017;4917.73
04/10/2017;4924.19
05/10/2017;4952.85
06/10/2017;4949.09
09/10/2017;4940.16
10/10/2017;4951.77
11/10/2017;4960.79
12/10/2017;4952.85
13/10/2017;4957.27
16/10/2017;4966.05
17/10/2017;4969.38
18/10/2017;4973.28
19/10/2017;4975.32
20/10/2017;5001.11
23/10/2017;4981.37
24/10/2017;4989.56
25/10/2017;4966.29
26/10/2017;4972.6
27/10/2017;5012.75
30/10/2017;4997.15
31/10/2017;5002.03
01/11/2017;5009.99
02/11/2017;5011.48
03/11/2017;5027.49
06/11/2017;5034.3
07/11/2017;5033.38
08/11/2017;5040.74
09/11/2017;5023.01
10/11/2017;5020.31
13/11/2017;5025.36
14/11/2017;5014.53
15/11/2017;4987.96
16/11/2017;5030.48
17/11/2017;5017.45
20/11/2017;5024.01
21/11/2017;5056.95
22/11/2017;5053.6
24/11/2017;5064.23
27/11/2017;5062.85
28/11/2017;5112.91
29/11/2017;5111.68
30/11/2017;5155.44
01/12/2017;5145.21
04/12/2017;5139.91
05/12/2017;5120.92
06/12/2017;5120.46
07/12/2017;5136.37
08/12/2017;5165.19
11/12/2017;5181.75
12/12/2017;5189.96
13/12/2017;5187.68
14/12/2017;5167.45
15/12/2017;5214.1
18/12/2017;5242.28
19/12/2017;5225.43
20/12/2017;5221.79
21/12/2017;5232.16
22/12/2017;5229.79
26/12/2017;5224.51
27/12/2017;5229.01
28/12/2017;5239.59
29/12/2017;5212.76
02/01/2018;5256.28
03/01/2018;5289.92
04/01/2018;5312.33
05/01/2018;5349.69
08/01/2018;5358.68
09/01/2018;5367.26
10/01/2018;5361.33
11/01/2018;5399.46
12/01/2018;5435.92
16/01/2018;5416.86
17/01/2018;5467.85
18/01/2018;5459.5
19/01/2018;5483.57
22/01/2018;5527.89
23/01/2018;5540.13
24/01/2018;5537.03
25/01/2018;5540.38
26/01/2018;5606.08
29/01/2018;5568.67
30/01/2018;5508.36
31/01/2018;5511.21
01/02/2018;5508.7
02/02/2018;5392.21
05/02/2018;5171.26
06/02/2018;5262.02
07/02/2018;5235.84
08/02/2018;5040.06
09/02/2018;5116.99
12/02/2018;5188.37
13/02/2018;5202.22
14/02/2018;5273.43
15/02/2018;5338.35
16/02/2018;5340.82
20/02/2018;5309.99
21/02/2018;5280.91
22/02/2018;5286.5
23/02/2018;5371.56
26/02/2018;5435.38
27/02/2018;5367.09
28/02/2018;5308.09
01/03/2018;5238.18
02/03/2018;5265.24
05/03/2018;5323.36
06/03/2018;5337.69
07/03/2018;5335.47
08/03/2018;5360.73
09/03/2018;5454.03
12/03/2018;5447.1
13/03/2018;5412.75
14/03/2018;5383.27
15/03/2018;5379.39
16/03/2018;5388.74
19/03/2018;5312.23
20/03/2018;5320.2
21/03/2018;5310.96
22/03/2018;5177.52
23/03/2018;5069.03
26/03/2018;5206.69
27/03/2018;5116.75
28/03/2018;5102.69
29/03/2018;5173.19
02/04/2018;5057.69
03/04/2018;5121.7
04/04/2018;5181.31
05/04/2018;5217.62
06/04/2018;5103.35
09/04/2018;5121.9
10/04/2018;5207.73
11/04/2018;5179.19
12/04/2018;5222.55
13/04/2018;5207.57
16/04/2018;5249.94
17/04/2018;5305.9
18/04/2018;5310.32
19/04/2018;5280.57
20/04/2018;5235.75
23/04/2018;5236.04
24/04/2018;5166.1
25/04/2018;5175.59
26/04/2018;5229.61
27/04/2018;5235.73
30/04/2018;5193.04
01/05/2018;5206.31
02/05/2018;5168.79
03/05/2018;5157.7
04/05/2018;5224.71
07/05/2018;5242.87
08/05/2018;5241.53
09/05/2018;5292.9
10/05/2018;5343.7
11/05/2018;5354.69
14/05/2018;5359.66
15/05/2018;5323.23
16/05/2018;5346.33
17/05/2018;5343.29
18/05/2018;5329.66
21/05/2018;5369.19
22/05/2018;5352.45
23/05/2018;5369.99
24/05/2018;5359.32
25/05/2018;5347.31
29/05/2018;5285.7
30/05/2018;5353.76
31/05/2018;5318.1
01/06/2018;5376.29
04/06/2018;5400.5
05/06/2018;5404.62
06/06/2018;5451.09
07/06/2018;5448.18
08/06/2018;5465.42
11/06/2018;5471.29
12/06/2018;5481.07
13/06/2018;5459.21
14/06/2018;5474.37
15/06/2018;5469.37
18/06/2018;5457.83
19/06/2018;5436.13
20/06/2018;5445.43
21/06/2018;5411.4
22/06/2018;5421.63
25/06/2018;5347.23
26/06/2018;5359.01
27/06/2018;5312.89
28/06/2018;5346.44
29/06/2018;5350.83
